paths,S0,K,type,price,time_ms
50000,100,100,call,10.3994,890.554
50000,100,100,put,6.04053,824.317
50000,100,90,call,16.6333,1116.58
50000,100,90,put,2.46944,575.129
50000,90,100,call,5.04481,625.81
50000,90,100,put,11.431,1075.95
200000,100,100,call,10.453,4142.43
200000,100,100,put,6.04872,3725.78
200000,100,90,call,16.698,5324.36
200000,100,90,put,2.46347,2413.7
200000,90,100,call,5.09296,2631.97
200000,90,100,put,11.4443,5160.85
500000,100,100,call,10.44,10531.7
500000,100,100,put,6.05652,9688.12
500000,100,90,call,16.6891,13554.7
500000,100,90,put,2.46196,6425.62
500000,90,100,call,5.07199,7025.93
500000,90,100,put,11.4454,13119.4
1000000,100,100,call,10.4466,21234.6
1000000,100,100,put,6.05778,19526.2
1000000,100,90,call,16.6911,27583.2
1000000,100,90,put,2.45913,12983.8
1000000,90,100,call,5.08099,14303.9
1000000,90,100,put,11.4411,26311.3
